sender_id,sequence,ack_time
1,0,1717961963.497
1,1,1717961965.730
1,2,1717961967.094
1,3,1717961968.224
1,4,1717961969.351
1,5,1717961970.716
1,6,1717961972.097
1,7,1717961975.259
1,8,1717961976.853
1,9,1717961977.996
1,10,1717961979.151
1,11,1717961980.282
1,12,1717961981.426
1,13,1717961982.583
1,14,1717961983.960
1,15,1717961985.085
1,16,1717961986.230
1,17,1717961987.355
1,18,1717961989.506
1,19,1717961991.859
1,20,1717961994.030
1,21,1717961995.388
1,22,1717961996.514
1,23,1717962000.717
1,24,1717962001.855
1,25,1717962003.210
1,26,1717962004.774
1,27,1717962007.165
1,28,1717962008.289
1,29,1717962009.389
1,30,1717962010.530
1,31,1717962012.662
1,32,1717962013.789
1,33,1717962015.154
1,34,1717962018.318
1,35,1717962019.662
1,36,1717962020.799
1,37,1717962024.188
1,38,1717962026.313
1,39,1717962028.437
1,40,1717962029.583
1,41,1717962030.722
1,42,1717962031.869
1,43,1717962033.013
1,44,1717962034.154
1,45,1717962035.295
1,46,1717962036.425
1,47,1717962038.573
1,48,1717962039.722
1,49,1717962041.871
1,50,1717962045.053
1,51,1717962047.658
1,52,1717962048.785
1,53,1717962051.877
1,54,1717962053.024
1,55,1717962054.164
1,56,1717962055.321
1,57,1717962057.487
1,58,1717962059.080
1,59,1717962060.243
1,60,1717962061.404
1,61,1717962062.564
1,62,1717962064.740
1,63,1717962066.896
1,64,1717962068.056
1,65,1717962069.205
1,66,1717962070.784
1,67,1717962071.920
1,68,1717962073.067
1,69,1717962074.223
1,70,1717962076.588
1,71,1717962078.187
1,72,1717962080.348
1,73,1717962082.509
1,74,1717962083.636
1,75,1717962084.767
1,76,1717962086.910
1,77,1717962088.277
1,78,1717962090.439
1,79,1717962091.807
1,80,1717962093.964
1,81,1717962095.103
1,82,1717962097.247
1,83,1717962100.395
1,84,1717962103.591
1,85,1717962104.720
1,86,1717962107.116
1,87,1717962109.274
1,88,1717962110.640
1,89,1717962111.771
1,90,1717962113.945
1,91,1717962115.081
1,92,1717962116.214
1,93,1717962117.343
1,94,1717962119.494
1,95,1717962120.639
1,96,1717962122.260
1,97,1717962123.410
1,98,1717962124.991
1,99,1717962127.135
1,100,1717962128.271
1,101,1717962129.400
1,102,1717962131.773
1,103,1717962134.374
1,104,1717962135.501
1,105,1717962143.379
1,106,1717962144.520
1,107,1717962145.657
1,108,1717962146.799
1,109,1717962148.941
1,110,1717962151.086
1,111,1717962152.214
1,112,1717962153.339
1,113,1717962154.692
1,114,1717962155.833
1,115,1717962156.957
1,116,1717962158.096
1,117,1717962162.681
1,118,1717962164.814
1,119,1717962165.927
1,120,1717962168.072
1,121,1717962172.633
1,122,1717962173.999
1,123,1717962175.105
1,124,1717962176.462
1,125,1717962177.612
1,126,1717962181.789
1,127,1717962185.159
1,128,1717962190.046
1,129,1717962191.169
1,130,1717962192.298
1,131,1717962193.870
1,132,1717962195.005
1,133,1717962197.378
1,134,1717962198.741
1,135,1717962199.882
1,136,1717962201.017
1,137,1717962204.190
1,138,1717962207.563
1,139,1717962208.696
1,140,1717962210.042
1,141,1717962211.410
1,142,1717962212.531
1,143,1717962213.874
1,144,1717962215.013
1,145,1717962216.394
1,146,1717962217.529
1,147,1717962218.674
1,148,1717962220.810
1,149,1717962221.948
1,150,1717962224.890
1,151,1717962227.228
1,152,1717962228.342
1,153,1717962231.500
1,154,1717962232.625
1,155,1717962233.789
1,156,1717962234.922
1,157,1717962236.068
1,158,1717962237.205
1,159,1717962240.017
1,160,1717962242.374
1,161,1717962243.504
1,162,1717962246.704
1,163,1717962248.874
1,164,1717962250.228
1,165,1717962252.394
1,166,1717962254.570
1,167,1717962255.711
1,168,1717962257.862
1,169,1717962259.220
1,170,1717962263.625
1,171,1717962264.993
1,172,1717962266.120
1,173,1717962267.262
1,174,1717962268.401
1,175,1717962269.541
1,176,1717962271.676
1,177,1717962272.813
1,178,1717962273.942
1,179,1717962276.107
1,180,1717962280.634
1,181,1717962283.060
1,182,1717962284.411
1,183,1717962286.538
1,184,1717962288.684
1,185,1717962289.845
1,186,1717962290.997
1,187,1717962292.350
1,188,1717962293.946
1,189,1717962296.118
1,190,1717962297.251
1,191,1717962298.385
1,192,1717962299.507
1,193,1717962300.622
1,194,1717962302.773
1,195,1717962303.910
1,196,1717962306.058
1,197,1717962308.445
1,198,1717962309.580
1,199,1717962311.959
1,200,1717962313.095
1,201,1717962315.452
1,202,1717962317.599
1,203,1717962318.748
1,204,1717962319.868
1,205,1717962321.218
1,206,1717962323.807
1,207,1717962324.964
1,208,1717962328.350
1,209,1717962330.507
1,210,1717962331.648
1,211,1717962332.777
1,212,1717962334.350
1,213,1717962335.693
1,214,1717962337.069
1,215,1717962339.229
1,216,1717962341.358
1,217,1717962342.727
1,218,1717962344.887
1,219,1717962346.028
1,220,1717962347.176
1,221,1717962349.321
1,222,1717962350.441
1,223,1717962351.569
1,224,1717962353.705
1,225,1717962355.881
1,226,1717962359.262
1,227,1717962361.443
1,228,1717962362.565
1,229,1717962364.718
1,230,1717962366.061
1,231,1717962368.227
1,232,1717962369.353
1,233,1717962370.487
1,234,1717962372.794
1,235,1717962373.928
1,236,1717962375.075
1,237,1717962376.228
1,238,1717962378.936
1,239,1717962381.067
1,240,1717962383.697
1,241,1717962384.825
1,242,1717962385.951
1,243,1717962387.083
1,244,1717962390.244
1,245,1717962392.372
1,246,1717962393.489
1,247,1717962394.616
1,248,1717962398.012
1,249,1717962399.155
1,250,1717962400.744
1,251,1717962401.877
1,252,1717962403.016
1,253,1717962405.416
1,254,1717962406.809
1,255,1717962407.940
1,256,1717962409.071
1,257,1717962410.196
1,258,1717962411.744
1,259,1717962412.874
1,260,1717962414.019
1,261,1717962416.174
1,262,1717962418.328
1,263,1717962420.680
1,264,1717962422.846
1,265,1717962424.975
1,266,1717962428.375
1,267,1717962429.509
1,268,1717962434.189
1,269,1717962436.792
1,270,1717962438.939
1,271,1717962442.091
1,272,1717962444.241
1,273,1717962446.818
1,274,1717962447.956
1,275,1717962450.101
1,276,1717962451.454
1,277,1717962452.571
1,278,1717962453.674
1,279,1717962455.838
1,280,1717962457.187
1,281,1717962458.325
1,282,1717962459.454
1,283,1717962460.574
1,284,1717962461.912
1,285,1717962464.299
1,286,1717962465.458
1,287,1717962466.582
1,288,1717962469.750
1,289,1717962476.808
1,290,1717962477.916
1,291,1717962479.044
1,292,1717962481.406
1,293,1717962482.536
1,294,1717962484.928
1,295,1717962486.054
1,296,1717962487.192
1,297,1717962488.544
1,298,1717962489.664
1,299,1717962492.028
1,300,1717962493.408
1,301,1717962494.981
1,302,1717962496.340
1,303,1717962497.469
1,304,1717962505.620
1,305,1717962505.629
1,306,1717962506.798
1,307,1717962510.551
1,308,1717962511.661
1,309,1717962512.794
1,310,1717962514.149
1,311,1717962515.272
1,312,1717962516.416
1,313,1717962518.782
1,314,1717962520.929
1,315,1717962522.277
1,316,1717962523.633
1,317,1717962526.025
1,318,1717962530.490
1,319,1717962531.629
1,320,1717962532.785
1,321,1717962534.920
1,322,1717962536.285
1,323,1717962538.658
1,324,1717962539.789
1,325,1717962541.949
1,326,1717962543.615
1,327,1717962544.949
1,328,1717962547.105
1,329,1717962548.256
1,330,1717962551.643
1,331,1717962553.800
1,332,1717962554.918
1,333,1717962556.022
1,334,1717962557.143
1,335,1717962559.283
1,336,1717962561.705
1,337,1717962562.892
1,338,1717962565.129
1,339,1717962566.265
1,340,1717962567.373
1,341,1717962569.515
1,342,1717962570.640
1,343,1717962571.779
1,344,1717962572.903
1,345,1717962574.029
1,346,1717962575.162
1,347,1717962577.322
1,348,1717962578.452
1,349,1717962579.603
1,350,1717962580.751
1,351,1717962581.897
1,352,1717962583.050
1,353,1717962585.643
1,354,1717962587.809
1,355,1717962590.187
1,356,1717962591.534
1,357,1717962592.896
1,358,1717962594.030
1,359,1717962595.158
1,360,1717962596.299
1,361,1717962598.465
1,362,1717962599.593
1,363,1717962600.720
1,364,1717962602.086
1,365,1717962603.220
1,366,1717962604.558
1,367,1717962605.684
1,368,1717962608.874
1,369,1717962610.031
1,370,1717962612.186
1,371,1717962613.319
1,372,1717962614.472
1,373,1717962615.599
1,374,1717962616.731
1,375,1717962618.870
1,376,1717962621.032
1,377,1717962622.158
1,378,1717962626.901
1,379,1717962628.035
1,380,1717962629.165
1,381,1717962631.528
1,382,1717962634.703
1,383,1717962635.827
1,384,1717962636.955
1,385,1717962638.083
1,386,1717962639.439
1,387,1717962640.572
1,388,1717962641.708
1,389,1717962644.905
1,390,1717962649.529
1,391,1717962651.688
1,392,1717962653.042
1,393,1717962655.209
1,394,1717962656.577
