sender_id,sequence,ack_time
1,0,1717676303.095
1,1,1717676303.211
1,2,1717676304.423
1,3,1717676305.214
1,4,1717676306.231
1,5,1717676307.825
1,6,1717676308.226
1,7,1717676309.225
1,8,1717676310.234
1,9,1717676311.664
1,10,1717676313.033
1,11,1717676313.235
1,12,1717676314.243
1,13,1717676315.242
1,14,1717676316.246
1,15,1717676317.249
1,16,1717676318.457
1,17,1717676319.463
1,18,1717676320.251
1,19,1717676321.259
1,20,1717676322.683
1,21,1717676323.258
1,22,1717676324.266
1,23,1717676325.265
1,24,1717676326.275
1,25,1717676327.258
1,26,1717676328.270
1,27,1717676329.267
1,28,1717676330.524
1,29,1717676331.491
1,30,1717676332.286
1,31,1717676333.277
1,32,1717676334.511
1,33,1717676335.295
1,34,1717676336.724
1,35,1717676337.293
1,36,1717676338.288
1,37,1717676339.289
1,38,1717676340.534
1,39,1717676341.302
1,40,1717676342.305
1,41,1717676343.991
1,42,1717676344.312
1,43,1717676345.304
1,44,1717676346.323
1,45,1717676347.554
1,46,1717676348.310
1,47,1717676349.578
1,48,1717676350.572
1,49,1717676351.319
1,50,1717676353.214
1,51,1717676353.319
1,52,1717676354.322
1,53,1717676355.561
1,54,1717676356.788
1,55,1717676357.551
1,56,1717676358.338
1,57,1717676359.347
1,58,1717676360.553
1,59,1717676361.788
1,60,1717676362.396
1,61,1717676363.370
1,62,1717676364.344
1,63,1717676365.368
1,64,1717676366.349
1,65,1717676367.617
1,66,1717676368.358
1,67,1717676369.364
1,68,1717676370.367
1,69,1717676371.387
1,70,1717676372.618
1,71,1717676373.383
1,72,1717676374.387
1,73,1717676375.396
1,74,1717676376.417
1,75,1717676377.393
1,76,1717676378.369
1,77,1717676379.592
1,78,1717676380.426
1,79,1717676381.391
1,80,1717676382.385
1,81,1717676383.614
1,82,1717676384.697
1,83,1717676385.405
1,84,1717676386.399
1,85,1717676387.404
1,86,1717676388.395
1,87,1717676389.840
1,88,1717676390.400
1,89,1717676391.840
1,90,1717676392.663
1,91,1717676393.458
1,92,1717676394.471
1,93,1717676395.646
1,94,1717676396.436
1,95,1717676397.637
1,96,1717676398.435
1,97,1717676399.448
1,98,1717676400.421
